set_label,word,status,height,width
aug_test_01,bat,OK,800,672
aug_test_01,cup,OK,800,672
aug_test_01,drop,OK,800,672
aug_test_01,eat,OK,800,672
aug_test_01,fish,OK,800,672
aug_test_01,hot,OK,800,672
aug_test_01,jump,OK,800,672
aug_test_01,milk,OK,800,672
aug_test_01,pen,OK,800,672
aug_test_01,red,OK,800,672
aug_test_02,bat,OK,800,672
aug_test_02,cup,OK,800,672
aug_test_02,drop,OK,800,672
aug_test_02,eat,OK,800,672
aug_test_02,fish,OK,800,672
aug_test_02,hot,OK,800,672
aug_test_02,jump,OK,800,672
aug_test_02,milk,OK,800,672
aug_test_02,pen,OK,800,672
aug_test_02,red,OK,800,672
aug_test_03,bat,OK,800,672
aug_test_03,cup,OK,800,672
aug_test_03,drop,OK,800,672
aug_test_03,eat,OK,800,672
aug_test_03,fish,OK,800,672
aug_test_03,hot,OK,800,672
aug_test_03,jump,OK,800,672
aug_test_03,milk,OK,800,672
aug_test_03,pen,OK,800,672
aug_test_03,red,OK,800,672
aug_test_04,bat,OK,800,672
aug_test_04,cup,OK,800,672
aug_test_04,drop,OK,800,672
aug_test_04,eat,OK,800,672
aug_test_04,fish,OK,800,672
aug_test_04,hot,OK,800,672
aug_test_04,jump,OK,800,672
aug_test_04,milk,OK,800,672
aug_test_04,pen,OK,800,672
aug_test_04,red,OK,800,672
aug_test_05,bat,OK,800,672
aug_test_05,cup,OK,800,672
aug_test_05,drop,OK,800,672
aug_test_05,eat,OK,800,672
aug_test_05,fish,OK,800,672
aug_test_05,hot,OK,800,672
aug_test_05,jump,OK,800,672
aug_test_05,milk,OK,800,672
aug_test_05,pen,OK,800,672
aug_test_05,red,OK,800,672
aug_test_06,bat,OK,800,672
aug_test_06,cup,OK,800,672
aug_test_06,drop,OK,800,672
aug_test_06,eat,OK,800,672
aug_test_06,fish,OK,800,672
aug_test_06,hot,OK,800,672
aug_test_06,jump,OK,800,672
aug_test_06,milk,OK,800,672
aug_test_06,pen,OK,800,672
aug_test_06,red,OK,800,672
aug_test_07,bat,OK,800,672
aug_test_07,cup,OK,800,672
aug_test_07,drop,OK,800,672
aug_test_07,eat,OK,800,672
aug_test_07,fish,OK,800,672
aug_test_07,hot,OK,800,672
aug_test_07,jump,OK,800,672
aug_test_07,milk,OK,800,672
aug_test_07,pen,OK,800,672
aug_test_07,red,OK,800,672
aug_test_08,bat,OK,800,672
aug_test_08,cup,OK,800,672
