aug_set_name,source_set,aug_type,split,frames
aug_train_03,set_22,Sharpen,train,600
aug_train_07,set_16,TemporalShift,train,600
aug_train_09,set_42,TemporalShift,train,600
aug_train_08,set_43,TemporalShift,train,600
aug_train_06,set_40,ProcessCroppedImage,train,600
aug_train_11,set_21,Sharpen,train,600
aug_train_16,set_05,ProcessCroppedImage,train,600
aug_train_02,set_31,RGBShift,train,600
aug_train_01,set_59,Scale,train,600
aug_train_10,set_37,Perspective,train,600
aug_train_05,set_28,RGBShift,train,600
aug_train_19,set_58,Downsample,train,600
aug_train_04,set_48,GaussianBlur,train,600
aug_train_21,set_22,TemporalShift,train,600
aug_train_15,set_29,HorizontalFlip,train,600
aug_train_14,set_16,Translate,train,600
aug_train_13,set_32,Brightness,train,600
aug_train_12,set_24,Brightness,train,600
aug_train_24,set_01,Downsample,train,600
aug_train_26,set_56,Sharpen,train,600
aug_train_17,set_06,Contrast,train,600
aug_train_31,set_46,Sharpen,train,600
aug_train_18,set_16,GaussianBlur,train,600
aug_train_20,set_28,Contrast,train,600
aug_train_22,set_48,OpticalDistortion,train,600
aug_train_23,set_08,Brightness,train,600
aug_train_25,set_17,OpticalDistortion,train,600
aug_train_35,set_45,Sharpen,train,600
aug_train_28,set_42,Contrast,train,600
aug_train_27,set_06,Perspective,train,600
aug_train_29,set_46,Rotate,train,600
aug_train_38,set_47,TemporalShift,train,600
aug_train_30,set_31,Contrast,train,600
aug_train_42,set_02,Downsample,train,600
aug_train_43,set_17,ProcessCroppedImage,train,600
aug_train_45,set_56,TemporalShift,train,600
aug_train_32,set_02,RGBShift,train,600
aug_train_34,set_19,Contrast,train,600
aug_train_33,set_14,GaussNoise,train,600
aug_train_36,set_03,HorizontalFlip,train,600
aug_train_37,set_24,GaussianBlur,train,600
aug_train_39,set_29,OpticalDistortion,train,600
aug_train_40,set_39,Equalize,train,600
aug_train_41,set_54,Perspective,train,600
aug_train_54,set_03,Downsample,train,600
aug_train_44,set_14,Contrast,train,600
aug_train_46,set_54,GaussianBlur,train,600
aug_train_48,set_17,Perspective,train,600
aug_train_50,set_16,OpticalDistortion,train,600
aug_train_49,set_43,OpticalDistortion,train,600
aug_train_58,set_04,ProcessCroppedImage,train,600
aug_train_52,set_40,Perspective,train,600
aug_train_51,set_25,Translate,train,600
aug_train_56,set_08,Contrast,train,600
aug_train_55,set_55,OpticalDistortion,train,600
