split,word,final_number,final_name,source_type,source_set,source_file
train,bat,1,001.png,real,set_01,set_01_bat.png
train,bat,2,002.png,real,set_02,set_02_bat.png
train,bat,3,003.png,real,set_03,set_03_bat.png
train,bat,4,004.png,real,set_04,set_04_bat.png
train,bat,5,005.png,real,set_05,set_05_bat.png
train,bat,6,006.png,real,set_06,set_06_bat.png
train,bat,7,007.png,real,set_07,set_07_bat.png
train,bat,8,008.png,real,set_08,set_08_bat.png
train,bat,9,009.png,real,set_12,set_12_bat.png
train,bat,10,010.png,real,set_13,set_13_bat.png
train,bat,11,011.png,real,set_14,set_14_bat.png
train,bat,12,012.png,real,set_16,set_16_bat.png
train,bat,13,013.png,real,set_17,set_17_bat.png
train,bat,14,014.png,real,set_19,set_19_bat.png
train,bat,15,015.png,real,set_20,set_20_bat.png
train,bat,16,016.png,real,set_21,set_21_bat.png
train,bat,17,017.png,real,set_22,set_22_bat.png
train,bat,18,018.png,real,set_24,set_24_bat.png
train,bat,19,019.png,real,set_25,set_25_bat.png
train,bat,20,020.png,real,set_28,set_28_bat.png
train,bat,21,021.png,real,set_29,set_29_bat.png
train,bat,22,022.png,real,set_31,set_31_bat.png
train,bat,23,023.png,real,set_32,set_32_bat.png
train,bat,24,024.png,real,set_33,set_33_bat.png
train,bat,25,025.png,real,set_35,set_35_bat.png
train,bat,26,026.png,real,set_37,set_37_bat.png
train,bat,27,027.png,real,set_38,set_38_bat.png
train,bat,28,028.png,real,set_39,set_39_bat.png
train,bat,29,029.png,real,set_40,set_40_bat.png
train,bat,30,030.png,real,set_42,set_42_bat.png
train,bat,31,031.png,real,set_43,set_43_bat.png
train,bat,32,032.png,real,set_45,set_45_bat.png
train,bat,33,033.png,real,set_46,set_46_bat.png
train,bat,34,034.png,real,set_47,set_47_bat.png
train,bat,35,035.png,real,set_48,set_48_bat.png
train,bat,36,036.png,real,set_49,set_49_bat.png
train,bat,37,037.png,real,set_52,set_52_bat.png
train,bat,38,038.png,real,set_54,set_54_bat.png
train,bat,39,039.png,real,set_55,set_55_bat.png
train,bat,40,040.png,real,set_56,set_56_bat.png
train,bat,41,041.png,real,set_58,set_58_bat.png
train,bat,42,042.png,real,set_59,set_59_bat.png
train,bat,43,043.png,aug,aug_train_01,aug_train_01_bat.png
train,bat,44,044.png,aug,aug_train_02,aug_train_02_bat.png
train,bat,45,045.png,aug,aug_train_03,aug_train_03_bat.png
train,bat,46,046.png,aug,aug_train_04,aug_train_04_bat.png
train,bat,47,047.png,aug,aug_train_05,aug_train_05_bat.png
train,bat,48,048.png,aug,aug_train_06,aug_train_06_bat.png
train,bat,49,049.png,aug,aug_train_07,aug_train_07_bat.png
train,bat,50,050.png,aug,aug_train_08,aug_train_08_bat.png
train,bat,51,051.png,aug,aug_train_09,aug_train_09_bat.png
train,bat,52,052.png,aug,aug_train_10,aug_train_10_bat.png
train,bat,53,053.png,aug,aug_train_100,aug_train_100_bat.png
train,bat,54,054.png,aug,aug_train_101,aug_train_101_bat.png
train,bat,55,055.png,aug,aug_train_102,aug_train_102_bat.png
train,bat,56,056.png,aug,aug_train_103,aug_train_103_bat.png
train,bat,57,057.png,aug,aug_train_104,aug_train_104_bat.png
train,bat,58,058.png,aug,aug_train_105,aug_train_105_bat.png
train,bat,59,059.png,aug,aug_train_106,aug_train_106_bat.png
train,bat,60,060.png,aug,aug_train_107,aug_train_107_bat.png
train,bat,61,061.png,aug,aug_train_108,aug_train_108_bat.png
train,bat,62,062.png,aug,aug_train_109,aug_train_109_bat.png
train,bat,63,063.png,aug,aug_train_11,aug_train_11_bat.png
train,bat,64,064.png,aug,aug_train_110,aug_train_110_bat.png
train,bat,65,065.png,aug,aug_train_111,aug_train_111_bat.png
train,bat,66,066.png,aug,aug_train_112,aug_train_112_bat.png
train,bat,67,067.png,aug,aug_train_113,aug_train_113_bat.png
train,bat,68,068.png,aug,aug_train_114,aug_train_114_bat.png
train,bat,69,069.png,aug,aug_train_115,aug_train_115_bat.png
train,bat,70,070.png,aug,aug_train_116,aug_train_116_bat.png
train,bat,71,071.png,aug,aug_train_117,aug_train_117_bat.png
train,bat,72,072.png,aug,aug_train_118,aug_train_118_bat.png
train,bat,73,073.png,aug,aug_train_119,aug_train_119_bat.png
train,bat,74,074.png,aug,aug_train_12,aug_train_12_bat.png
train,bat,75,075.png,aug,aug_train_120,aug_train_120_bat.png
train,bat,76,076.png,aug,aug_train_121,aug_train_121_bat.png
train,bat,77,077.png,aug,aug_train_122,aug_train_122_bat.png
train,bat,78,078.png,aug,aug_train_123,aug_train_123_bat.png
train,bat,79,079.png,aug,aug_train_124,aug_train_124_bat.png
train,bat,80,080.png,aug,aug_train_125,aug_train_125_bat.png
train,bat,81,081.png,aug,aug_train_126,aug_train_126_bat.png
train,bat,82,082.png,aug,aug_train_127,aug_train_127_bat.png
train,bat,83,083.png,aug,aug_train_128,aug_train_128_bat.png
train,bat,84,084.png,aug,aug_train_129,aug_train_129_bat.png
train,bat,85,085.png,aug,aug_train_13,aug_train_13_bat.png
train,bat,86,086.png,aug,aug_train_130,aug_train_130_bat.png
train,bat,87,087.png,aug,aug_train_131,aug_train_131_bat.png
train,bat,88,088.png,aug,aug_train_132,aug_train_132_bat.png
train,bat,89,089.png,aug,aug_train_133,aug_train_133_bat.png
train,bat,90,090.png,aug,aug_train_134,aug_train_134_bat.png
train,bat,91,091.png,aug,aug_train_135,aug_train_135_bat.png
train,bat,92,092.png,aug,aug_train_136,aug_train_136_bat.png
train,bat,93,093.png,aug,aug_train_137,aug_train_137_bat.png
train,bat,94,094.png,aug,aug_train_138,aug_train_138_bat.png
train,bat,95,095.png,aug,aug_train_139,aug_train_139_bat.png
train,bat,96,096.png,aug,aug_train_14,aug_train_14_bat.png
train,bat,97,097.png,aug,aug_train_140,aug_train_140_bat.png
train,bat,98,098.png,aug,aug_train_141,aug_train_141_bat.png
train,bat,99,099.png,aug,aug_train_142,aug_train_142_bat.png
train,bat,100,100.png,aug,aug_train_143,aug_train_143_bat.png
train,bat,101,101.png,aug,aug_train_144,aug_train_144_bat.png
train,bat,102,102.png,aug,aug_train_15,aug_train_15_bat.png
train,bat,103,103.png,aug,aug_train_16,aug_train_16_bat.png
